marker,Identifier,Score,Component,Description
LCrichton,Participant 12895966,3,1,Abstract is clear and accurate
LCrichton,Participant 12895966,4,2,Abstract contains correct information
LCrichton,Participant 12895966,3,3,Introduction is clear and accurate
LCrichton,Participant 12895966,3,4,Introduction gives big-picture overview
LCrichton,Participant 12895966,2,5,Introduction outlines specific research area
LCrichton,Participant 12895966,2,6,Introduction gives rationale for current experiment
LCrichton,Participant 12895966,4,7,"Participant section is clear, accurate, and contain correct information"
LCrichton,Participant 12895966,1,8,Sample sizes are justified through a power calculation
LCrichton,Participant 12895966,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
LCrichton,Participant 12895966,2,10,"Procedure section is clear, accurate, and contain correct information."
LCrichton,Participant 12895966,3,11,"Result section is overall clear, accurate, and contain correct information"
LCrichton,Participant 12895966,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
LCrichton,Participant 12895966,2,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
LCrichton,Participant 12895966,3,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
LCrichton,Participant 12895966,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
LCrichton,Participant 12895966,2,17,Discussion correctly and clearly summarises findings
LCrichton,Participant 12895966,3,18,Discussion correctly interprets findings
LCrichton,Participant 12895966,2,19,Discussion makes appropriate links to previous literature
LCrichton,Participant 12895966,3,20,Discussion provides good considerations of the limitations of the current study
LCrichton,Participant 12895966,2,21,"Discussion makes a good, sensible suggestion for future work"
LCrichton,Participant 12895966,3,22,Discussion concludes appropriately.
LCrichton,Participant 12895966,3,23,Overall clarity of writing
LCrichton,Participant 12895966,3,24,Overall quality of grammar and spelling
LCrichton,Participant 12895966,4,25,Correct formatting of sections and sub-sections
LCrichton,Participant 12895966,3,26,Correct usage of APA-formatted citations and references
LCrichton,Participant 12895828,3,1,Abstract is clear and accurate
LCrichton,Participant 12895828,4,2,Abstract contains correct information
LCrichton,Participant 12895828,3,3,Introduction is clear and accurate
LCrichton,Participant 12895828,3,4,Introduction gives big-picture overview
LCrichton,Participant 12895828,4,5,Introduction outlines specific research area
LCrichton,Participant 12895828,3,6,Introduction gives rationale for current experiment
LCrichton,Participant 12895828,3,7,"Participant section is clear, accurate, and contain correct information"
LCrichton,Participant 12895828,1,8,Sample sizes are justified through a power calculation
LCrichton,Participant 12895828,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
LCrichton,Participant 12895828,3,10,"Procedure section is clear, accurate, and contain correct information."
LCrichton,Participant 12895828,3,11,"Result section is overall clear, accurate, and contain correct information"
LCrichton,Participant 12895828,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
LCrichton,Participant 12895828,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
LCrichton,Participant 12895828,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
LCrichton,Participant 12895828,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
LCrichton,Participant 12895828,1,17,Discussion correctly and clearly summarises findings
LCrichton,Participant 12895828,2,18,Discussion correctly interprets findings
LCrichton,Participant 12895828,3,19,Discussion makes appropriate links to previous literature
LCrichton,Participant 12895828,3,20,Discussion provides good considerations of the limitations of the current study
LCrichton,Participant 12895828,3,21,"Discussion makes a good, sensible suggestion for future work"
LCrichton,Participant 12895828,2,22,Discussion concludes appropriately.
LCrichton,Participant 12895828,4,23,Overall clarity of writing
LCrichton,Participant 12895828,4,24,Overall quality of grammar and spelling
LCrichton,Participant 12895828,4,25,Correct formatting of sections and sub-sections
LCrichton,Participant 12895828,4,26,Correct usage of APA-formatted citations and references
LCrichton,Participant 12895909,4,1,Abstract is clear and accurate
LCrichton,Participant 12895909,3,2,Abstract contains correct information
LCrichton,Participant 12895909,3,3,Introduction is clear and accurate
LCrichton,Participant 12895909,4,4,Introduction gives big-picture overview
LCrichton,Participant 12895909,3,5,Introduction outlines specific research area
LCrichton,Participant 12895909,4,6,Introduction gives rationale for current experiment
LCrichton,Participant 12895909,4,7,"Participant section is clear, accurate, and contain correct information"
LCrichton,Participant 12895909,1,8,Sample sizes are justified through a power calculation
LCrichton,Participant 12895909,3,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
LCrichton,Participant 12895909,4,10,"Procedure section is clear, accurate, and contain correct information."
LCrichton,Participant 12895909,3,11,"Result section is overall clear, accurate, and contain correct information"
LCrichton,Participant 12895909,4,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
LCrichton,Participant 12895909,4,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
LCrichton,Participant 12895909,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
LCrichton,Participant 12895909,3,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
LCrichton,Participant 12895909,3,17,Discussion correctly and clearly summarises findings
LCrichton,Participant 12895909,4,18,Discussion correctly interprets findings
LCrichton,Participant 12895909,2,19,Discussion makes appropriate links to previous literature
LCrichton,Participant 12895909,3,20,Discussion provides good considerations of the limitations of the current study
LCrichton,Participant 12895909,3,21,"Discussion makes a good, sensible suggestion for future work"
LCrichton,Participant 12895909,2,22,Discussion concludes appropriately.
LCrichton,Participant 12895909,4,23,Overall clarity of writing
LCrichton,Participant 12895909,3,24,Overall quality of grammar and spelling
LCrichton,Participant 12895909,4,25,Correct formatting of sections and sub-sections
LCrichton,Participant 12895909,5,26,Correct usage of APA-formatted citations and references
LCrichton,Participant 12895777,4,1,Abstract is clear and accurate
LCrichton,Participant 12895777,4,2,Abstract contains correct information
LCrichton,Participant 12895777,4,3,Introduction is clear and accurate
LCrichton,Participant 12895777,4,4,Introduction gives big-picture overview
LCrichton,Participant 12895777,4,5,Introduction outlines specific research area
LCrichton,Participant 12895777,3,6,Introduction gives rationale for current experiment
LCrichton,Participant 12895777,4,7,"Participant section is clear, accurate, and contain correct information"
LCrichton,Participant 12895777,1,8,Sample sizes are justified through a power calculation
LCrichton,Participant 12895777,2,9,"Apparatus and materials sections are clear, accurate, and contain correct information"
LCrichton,Participant 12895777,3,10,"Procedure section is clear, accurate, and contain correct information."
LCrichton,Participant 12895777,2,11,"Result section is overall clear, accurate, and contain correct information"
LCrichton,Participant 12895777,3,12,"Figure(s) are clear and appropriate, lack clutter, and have meaningful axis labels and good font sizes"
LCrichton,Participant 12895777,3,13,Figure(s) have an appropriate figure legend that is referred to in the main text.
LCrichton,Participant 12895777,4,14,"Results section includes appropriate and accurate summary statistics (e.g. means, density plots)"
LCrichton,Participant 12895777,2,15,Results section includes appropriate and accurate inferential statistics (Bayesian ANOVA)
LCrichton,Participant 12895777,4,17,Discussion correctly and clearly summarises findings
LCrichton,Participant 12895777,2,18,Discussion correctly interprets findings
LCrichton,Participant 12895777,3,19,Discussion makes appropriate links to previous literature
LCrichton,Participant 12895777,4,20,Discussion provides good considerations of the limitations of the current study
LCrichton,Participant 12895777,3,21,"Discussion makes a good, sensible suggestion for future work"
LCrichton,Participant 12895777,3,22,Discussion concludes appropriately.
LCrichton,Participant 12895777,4,23,Overall clarity of writing
LCrichton,Participant 12895777,3,24,Overall quality of grammar and spelling
LCrichton,Participant 12895777,4,25,Correct formatting of sections and sub-sections
